State FIPS,County FIPS,County,State,County Name/State Abbreviation,Labor Force,Employed,Unemployed,Unemployment Rate
01,001,Autauga County,AL,"Autauga County, AL",25710,24395,1315,5.1
01,003,Baldwin County,AL,"Baldwin County, AL",89778,84972,4806,5.4
01,005,Barbour County,AL,"Barbour County, AL",8334,7638,696,8.4
01,007,Bibb County,AL,"Bibb County, AL",8539,7986,553,6.5
01,009,Blount County,AL,"Blount County, AL",24380,23061,1319,5.4
01,011,Bullock County,AL,"Bullock County, AL",4785,4457,328,6.9
01,013,Butler County,AL,"Butler County, AL",9116,8484,632,6.9
01,015,Calhoun County,AL,"Calhoun County, AL",45450,42470,2980,6.6
01,017,Chambers County,AL,"Chambers County, AL",14858,14044,814,5.5
01,019,Cherokee County,AL,"Cherokee County, AL",11241,10671,570,5.1
01,021,Chilton County,AL,"Chilton County, AL",19029,17982,1047,5.5
01,023,Choctaw County,AL,"Choctaw County, AL",4292,3926,366,8.5
01,025,Clarke County,AL,"Clarke County, AL",7889,7030,859,10.9
01,027,Clay County,AL,"Clay County, AL",5579,5247,332,6.0
01,029,Cleburne County,AL,"Cleburne County, AL",5738,5394,344,6.0
01,031,Coffee County,AL,"Coffee County, AL",20429,19227,1202,5.9
01,033,Colbert County,AL,"Colbert County, AL",23261,21640,1621,7.0
01,035,Conecuh County,AL,"Conecuh County, AL",4512,4131,381,8.4
01,037,Coosa County,AL,"Coosa County, AL",4344,4084,260,6.0
01,039,Covington County,AL,"Covington County, AL",15366,14325,1041,6.8
01,041,Crenshaw County,AL,"Crenshaw County, AL",6401,6024,377,5.9
01,043,Cullman County,AL,"Cullman County, AL",37594,35720,1874,5.0
01,045,Dale County,AL,"Dale County, AL",19796,18648,1148,5.8
01,047,Dallas County,AL,"Dallas County, AL",15293,13880,1413,9.2
01,049,DeKalb County,AL,"DeKalb County, AL",28996,27232,1764,6.1
01,051,Elmore County,AL,"Elmore County, AL",36921,35161,1760,4.8
01,053,Escambia County,AL,"Escambia County, AL",14433,13472,961,6.7
01,055,Etowah County,AL,"Etowah County, AL",42914,40372,2542,5.9
01,057,Fayette County,AL,"Fayette County, AL",6542,6100,442,6.8
01,059,Franklin County,AL,"Franklin County, AL",13752,12941,811,5.9
01,061,Geneva County,AL,"Geneva County, AL",10720,10097,623,5.8
01,063,Greene County,AL,"Greene County, AL",2848,2564,284,10.0
01,065,Hale County,AL,"Hale County, AL",5933,5478,455,7.7
01,067,Henry County,AL,"Henry County, AL",6666,6231,435,6.5
